week_start,disrupted_days,total_days,probability
2022-05-09,1,5,0.2
2022-05-16,0,5,0.0
2022-05-23,1,5,0.2
2022-05-30,1,5,0.2
2022-06-06,0,5,0.0
2022-06-13,0,5,0.0
2022-06-20,2,5,0.4
2022-06-27,1,5,0.2
2022-07-04,1,5,0.2
2022-07-11,0,5,0.0
2022-07-18,2,5,0.4
2022-07-25,1,5,0.2
2022-08-01,1,5,0.2
2022-08-08,2,5,0.4
2022-08-15,1,5,0.2
2022-08-22,3,5,0.6
2022-08-29,1,5,0.2
2022-09-05,0,5,0.0
2022-09-12,0,5,0.0
2022-09-19,0,5,0.0
2022-09-26,1,5,0.2
2022-10-03,1,5,0.2
2022-10-10,0,5,0.0
2022-10-17,1,5,0.2
2022-10-24,1,5,0.2
2022-10-31,0,5,0.0
2022-11-07,1,5,0.2
2022-11-14,0,5,0.0
2022-11-21,2,5,0.4
2022-11-28,0,5,0.0
2022-12-05,1,5,0.2
2022-12-12,1,5,0.2
2022-12-19,0,5,0.0
2022-12-26,0,5,0.0
2023-01-02,1,5,0.2
2023-01-09,0,5,0.0
2023-01-16,1,5,0.2
2023-01-23,1,5,0.2
2023-01-30,1,5,0.2
2023-02-06,1,5,0.2
2023-02-13,0,5,0.0
2023-02-20,2,5,0.4
2023-02-27,0,5,0.0
2023-03-06,1,5,0.2
2023-03-13,2,5,0.4
2023-03-20,1,5,0.2
2023-03-27,2,5,0.4
2023-04-03,1,5,0.2
2023-04-10,1,5,0.2
2023-04-17,0,5,0.0
2023-04-24,0,5,0.0
2023-05-01,0,5,0.0
2023-05-08,0,5,0.0
2023-05-15,1,5,0.2
2023-05-22,2,5,0.4
2023-05-29,0,5,0.0
2023-06-05,1,5,0.2
2023-06-12,3,5,0.6
2023-06-19,0,5,0.0
2023-06-26,1,5,0.2
2023-07-03,2,5,0.4
2023-07-10,3,5,0.6
2023-07-17,0,5,0.0
2023-07-24,0,5,0.0
2023-07-31,2,5,0.4
2023-08-07,1,5,0.2
2023-08-14,2,5,0.4
2023-08-21,0,5,0.0
2023-08-28,1,5,0.2
2023-09-04,2,5,0.4
2023-09-11,1,5,0.2
2023-09-18,0,5,0.0
2023-09-25,0,5,0.0
2023-10-02,0,5,0.0
2023-10-09,0,5,0.0
2023-10-16,0,5,0.0
2023-10-23,1,5,0.2
2023-10-30,0,5,0.0
2023-11-06,1,5,0.2
2023-11-13,0,5,0.0
2023-11-20,1,5,0.2
2023-11-27,0,5,0.0
2023-12-04,0,5,0.0
2023-12-11,2,5,0.4
2023-12-18,1,5,0.2
2023-12-25,2,5,0.4
2024-01-01,1,5,0.2
2024-01-08,0,5,0.0
2024-01-15,3,5,0.6
2024-01-22,0,5,0.0
2024-01-29,1,5,0.2
2024-02-05,2,5,0.4
2024-02-12,0,5,0.0
2024-02-19,1,5,0.2
2024-02-26,1,5,0.2
2024-03-04,1,5,0.2
2024-03-11,2,5,0.4
2024-03-18,1,5,0.2
2024-03-25,1,5,0.2
2024-04-01,1,5,0.2
2024-04-08,0,5,0.0
2024-04-15,1,5,0.2
2024-04-22,1,5,0.2
2024-04-29,1,5,0.2
2024-05-06,3,5,0.6
2024-05-13,0,5,0.0
2024-05-20,1,5,0.2
2024-05-27,0,5,0.0
2024-06-03,0,5,0.0
2024-06-10,1,5,0.2
2024-06-17,0,5,0.0
2024-06-24,0,5,0.0
2024-07-01,0,5,0.0
2024-07-08,1,5,0.2
2024-07-15,1,5,0.2
2024-07-22,1,5,0.2
2024-07-29,0,5,0.0
2024-08-05,1,5,0.2
2024-08-12,1,5,0.2
2024-08-19,1,5,0.2
2024-08-26,1,5,0.2
2024-09-02,0,5,0.0
2024-09-09,0,5,0.0
2024-09-16,0,5,0.0
2024-09-23,1,5,0.2
2024-09-30,2,5,0.4
2024-10-07,0,5,0.0
2024-10-14,1,5,0.2
2024-10-21,1,5,0.2
2024-10-28,0,5,0.0
2024-11-04,0,5,0.0
2024-11-11,1,5,0.2
2024-11-18,0,5,0.0
2024-11-25,0,5,0.0
2024-12-02,1,5,0.2
2024-12-09,1,5,0.2
2024-12-16,2,5,0.4
2024-12-23,2,5,0.4
2024-12-30,3,5,0.6
2025-01-06,1,5,0.2
2025-01-13,1,5,0.2
2025-01-20,0,5,0.0
2025-01-27,2,5,0.4
2025-02-03,3,5,0.6
2025-02-10,1,5,0.2
2025-02-17,0,5,0.0
2025-02-24,1,5,0.2
2025-03-03,1,5,0.2
2025-03-10,2,5,0.4
2025-03-17,3,5,0.6
2025-03-24,2,5,0.4
2025-03-31,0,5,0.0
2025-04-07,2,5,0.4
2025-04-14,1,5,0.2
2025-04-21,0,5,0.0
2025-04-28,1,5,0.2
2025-05-05,2,5,0.4
2025-05-12,0,5,0.0
2025-05-19,0,5,0.0
2025-05-26,1,5,0.2
2025-06-02,0,5,0.0
2025-06-09,0,5,0.0
2025-06-16,1,5,0.2
2025-06-23,2,5,0.4
2025-06-30,2,5,0.4
2025-07-07,1,5,0.2
2025-07-14,2,5,0.4
2025-07-21,0,5,0.0
2025-07-28,0,5,0.0
2025-08-04,0,5,0.0
2025-08-11,0,5,0.0
2025-08-18,0,5,0.0
2025-08-25,3,5,0.6
2025-09-01,1,5,0.2
2025-09-08,1,5,0.2
2025-09-15,0,5,0.0
2025-09-22,0,5,0.0
2025-09-29,0,5,0.0
2025-10-06,2,5,0.4
2025-10-13,3,5,0.6
2025-10-20,1,5,0.2
2025-10-27,1,5,0.2
2025-11-03,0,5,0.0
2025-11-10,2,5,0.4
2025-11-17,2,5,0.4
2025-11-24,1,5,0.2
2025-12-01,0,5,0.0
2025-12-08,2,5,0.4
2025-12-15,2,5,0.4
2025-12-22,1,5,0.2
2025-12-29,0,5,0.0
2026-01-05,0,5,0.0
2026-01-12,0,5,0.0
2026-01-19,1,5,0.2
2026-01-26,4,5,0.8
2026-02-02,1,5,0.2
2026-02-09,1,5,0.2
2026-02-16,1,5,0.2
2026-02-23,3,5,0.6
2026-03-02,2,5,0.4
2026-03-09,3,5,0.6
2026-03-16,0,5,0.0
2026-03-23,0,5,0.0
2026-03-30,0,5,0.0
2026-04-06,0,5,0.0
2026-04-13,0,5,0.0
2026-04-20,0,5,0.0
2026-04-27,0,5,0.0
2026-05-04,0,5,0.0
